index,Positive Word,Negative Word
1,ABLE,abnormal
2,ACCEPT,abolish
3,ACCEPTANCE,abominable
4,ACCEPTABLE,abominably
5,ACCEPTED,abominate
6,ACCEPTING,abomination
7,ACTION,abort
8,ACTIVATE,aborted
9,ACTIVE,aborts
10,ADD,abrade
11,ADDITION,abrasive
12,ADORABLE,abrupt
13,ADVANTAGE,abruptly
14,AFFIRM,abscond
15,AGELESS,absence
16,AGREE,absent-minded
17,AGREEABLE,absentee
18,AID,absurd
19,AIM,absurdity
20,ABUNDANCE,absurdly
21,ACCOUNTABILITY,absurdness
22,ACCOMPLISHMENT,abuse
23,ACCOMPLISH,abused
24,ACCURACY,abuses
25,ACHIEVEMENT,abusive
26,ACHIEVE,abysmal
27,ACKNOWLEDGEMENT,abysmally
28,ADAPTABILITY,abyss
29,ADVENTURE,accidental
30,ADVENTUROUS,accost
31,AGILITY,accursed
32,ALERTNESS,accusation
33,AMBITION,accusations
34,ANTICIPATION,accuse
35,APPRECIATE,accuses
36,APPRECIATION,accusing
37,APPRECIATIVE,accusingly
38,APPRECIATIVENESS,acerbate
39,ASSERTIVENESS,acerbic
40,ASSERTIVE,acerbically
41,ATTENTIVENESS,ache
42,AUDACITY,ached
43,AWARE,aches
44,AWARENESS,aching
45,AUTHENTIC,acrid
46,AUTHENTICITY,acridly
47,ABRACADABRA,acridness
48,ATTRACTION,acrimonious
49,ALLOW,acrimoniously
50,ALLOWING,acrimony
51,AFFECTION,adamant
52,AFFECTIONATE,adamantly
53,ABSORBED,addict
54,ALERT,addicted
55,AMAZED,addicting
56,AWE,addicts
57,AWED,admonish
58,ANIMATE,admonisher
59,ANIMATED,admonishingly
60,ANIMATING,admonishment
61,ANIMATION,admonition
62,ANIMATENESS,adulterate
63,ARDENT,adulterated
64,AMAZING,adulteration
65,AWESOME,adversarial
66,AWESOMENESS,adversary
67,AROUSED,adverse
68,ASTONISHED,adversity
69,ASTONISHING,afflict
70,AMUSED,affliction
71,AIR,afflictive
72,AIRNESS,affront
73,ALOHA,afraid
74,ADORE,aggravate
75,ADMIRE,aggravating
76,ADMIRABLE,aggravation
77,ALLURE,aggression
78,ANGEL,aggressive
79,ANGELIC,aggressiveness
80,ALTRUISM,aggressor
81,ALTRUISTIC,aggrieve
82,ABOUND,aggrieved
83,ABOUNDING,aghast
84,ABOUNDS-,agonies
85,ABUNDANT,agonize
86,ABSOLUTE,agonizing
87,ABSOLUTELY,agonizingly
88,ACCESSIBLE,agony
89,ACCLAIMED,aground
90,ACCOMMODATE,ail
